customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0.0,Yes,No,0.013888888888888888,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.11542288557213931,29.85,No
5575-GNVDE,Male,0.0,No,No,0.4722222222222222,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,0.3850746268656716,1889.5,No
3668-QPYBK,Male,0.0,No,No,0.027777777777777776,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0.35422885572139307,108.15,Yes
7795-CFOCW,Male,0.0,No,No,0.625,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),0.23930348258706463,1840.75,No
9237-HQITU,Female,0.0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5218905472636816,151.65,Yes
9305-CDSKC,Female,0.0,No,No,0.1111111111111111,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8099502487562189,820.5,Yes
1452-KIOVK,Male,0.0,No,Yes,0.3055555555555555,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.7049751243781094,1949.4,No
6713-OKOMC,Female,0.0,No,No,0.1388888888888889,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.11442786069651739,301.9,No
7892-POOKP,Female,0.0,Yes,No,0.38888888888888884,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8611940298507462,3046.05,Yes
6388-TABGU,Male,0.0,No,Yes,0.861111111111111,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),0.3771144278606965,3487.95,No
9763-GRSKD,Male,0.0,Yes,Yes,0.18055555555555555,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.3154228855721393,587.45,No
7469-LKBCI,Male,0.0,No,No,0.2222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.006965174129353213,326.8,No
8091-TTVAX,Male,0.0,Yes,No,0.8055555555555555,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),0.8169154228855721,5681.1,No
0280-XJGEX,Male,0.0,No,No,0.6805555555555555,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8502487562189055,5036.3,Yes
5129-JLPIS,Male,0.0,No,No,0.3472222222222222,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8681592039800995,2686.05,No
3655-SNQYZ,Female,0.0,Yes,Yes,0.9583333333333333,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),0.945273631840796,7895.15,No
8191-XWSZG,Female,0.0,No,No,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.023880597014925342,1022.95,No
9959-WOFKT,Male,0.0,No,Yes,0.986111111111111,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),0.8800995024875623,7382.25,No
4190-MFLUW,Female,0.0,Yes,Yes,0.1388888888888889,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),0.36766169154228856,528.35,Yes
4183-MYFRB,Female,0.0,No,No,0.29166666666666663,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.7144278606965173,1862.9,No
8779-QRDMV,Male,1.0,No,No,0.013888888888888888,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.21293532338308457,39.65,Yes
1680-VDCWW,Male,0.0,Yes,No,0.16666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.015422885572139305,202.25,No
1066-JKSGK,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.018905472636815884,20.15,Yes
3638-WEABW,Female,0.0,Yes,No,0.8055555555555555,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),0.4144278606965174,3505.1,No
6322-HRPFA,Male,0.0,Yes,Yes,0.6805555555555555,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),0.4114427860696518,2970.3,No
6865-JZNKO,Female,0.0,No,No,0.41666666666666663,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.3686567164179104,1530.6,No
6467-CHFZW,Male,0.0,Yes,Yes,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8069651741293532,4749.15,Yes
8665-UTDHZ,Male,0.0,Yes,Yes,0.013888888888888888,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0.11890547263681589,30.2,Yes
5248-YGIJN,Male,0.0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.7164179104477612,6369.45,No
8773-HHUOZ,Female,0.0,No,Yes,0.2361111111111111,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.4621890547263682,1093.1,Yes
3841-NFECX,Female,1.0,Yes,No,0.986111111111111,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0.7771144278606964,6766.95,No
4929-XIHVW,Male,1.0,Yes,No,0.027777777777777776,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.7686567164179104,181.65,No
6827-IEAUQ,Female,0.0,Yes,Yes,0.375,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0.47661691542288565,1874.45,No
7310-EGVHZ,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0.019402985074626844,20.2,No
3413-BMNZE,Male,1.0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.26865671641791045,45.25,No
6234-RAAPL,Female,0.0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),0.8124378109452737,7251.7,No
6047-YHPVI,Male,0.0,No,No,0.06944444444444445,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5119402985074627,316.9,Yes
6572-ADKRS,Female,0.0,No,No,0.6388888888888888,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.5626865671641791,3548.3,No
5380-WJKOV,Male,0.0,No,No,0.4722222222222222,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8766169154228854,3549.25,Yes
8168-UQWWF,Female,0.0,No,No,0.15277777777777776,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.7920398009950248,1105.4,Yes
8865-TNMNX,Male,0.0,Yes,Yes,0.1388888888888889,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,0.3114427860696517,475.7,No
9489-DEDVP,Female,0.0,Yes,Yes,0.9722222222222222,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.5069651741293533,4872.35,No
9867-JCZSP,Female,0.0,Yes,Yes,0.2361111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.02487562189054726,418.25,No
4671-VJLCL,Female,0.0,No,No,0.875,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.6129353233830845,4861.45,No
4080-IIARD,Female,0.0,Yes,No,0.18055555555555555,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.5766169154228856,981.45,No
3714-NTNFO,Female,0.0,No,No,0.6805555555555555,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6592039800995024,3906.7,No
5948-UJZLF,Male,0.0,No,No,0.027777777777777776,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,0.30845771144278605,97,No
7760-OYPDY,Female,0.0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6208955223880598,144.15,Yes
7639-LIAYI,Male,0.0,No,No,0.7222222222222222,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6119402985074627,4217.8,No
2954-PIBKO,Female,0.0,Yes,Yes,0.9583333333333333,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0.4567164179104478,4254.1,No
8012-SOUDQ,Female,1.0,No,No,0.5972222222222222,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.7164179104477612,3838.75,No
9420-LOJKX,Female,0.0,No,No,0.20833333333333331,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.8044776119402984,1426.4,Yes
6575-SUVOI,Female,1.0,Yes,No,0.3472222222222222,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0.5099502487562189,1752.65,No
7495-OOKFY,Female,1.0,Yes,No,0.1111111111111111,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.6208955223880598,633.3,Yes
4667-QONEA,Female,1.0,Yes,Yes,0.8333333333333333,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),0.56318407960199,4456.35,No
